Bag Size,In Sample RMSE,Out of Sample RMSE
1,0.006017951,0.008258866
2,0.004407998,0.006532951
3,0.003671266,0.005447165
4,0.003463359,0.005437008
5,0.004060873,0.005512321
6,0.003448379,0.005672958
7,0.003126146,0.005379864
8,0.002989295,0.005287484
9,0.003109008,0.005155627
10,0.003008691,0.005259758
11,0.002612858,0.005045282
12,0.002861145,0.00474989
13,0.003037516,0.004656245
14,0.003055034,0.00476004
15,0.002867387,0.004959089
16,0.002723971,0.004997546
17,0.002819211,0.004787286
18,0.002791527,0.004982166
19,0.00269509,0.005032212
20,0.00285344,0.004887135
21,0.002866433,0.004699176
22,0.002712183,0.004738961
23,0.002724329,0.00482031
24,0.002652796,0.004561929
25,0.002694858,0.004880269
26,0.002750679,0.004815098
27,0.002647237,0.0048576
28,0.002618502,0.004865244
29,0.002623136,0.004793899
30,0.002715064,0.004752181
31,0.002625964,0.004582939
32,0.002615192,0.004528256
33,0.00267942,0.004618495
34,0.002693004,0.004647504
35,0.0027382,0.004591727
36,0.002732666,0.004677145
37,0.002667179,0.004525746
38,0.002625039,0.004720071
39,0.002563626,0.004672581
40,0.002641636,0.004499994
41,0.002521456,0.0046735
42,0.002627601,0.004559892
43,0.002622072,0.00482097
44,0.002793427,0.004612883
45,0.002575229,0.004410688
46,0.002646958,0.00471411
47,0.002627274,0.004690377
48,0.002620609,0.004717833
49,0.002584775,0.004660655
50,0.002605812,0.00460246
51,0.002442368,0.004503614
52,0.002573228,0.004694361
53,0.00262291,0.00465017
54,0.002538527,0.004597886
55,0.002513887,0.004666953
56,0.002602494,0.004631682
57,0.002459347,0.004430072
58,0.002624721,0.00454064
59,0.00253499,0.004668764
60,0.00245286,0.004575176
61,0.002466416,0.004636586
62,0.002494223,0.004660956
63,0.002465309,0.004680391
64,0.002550699,0.004608584
65,0.002615031,0.004579174
66,0.00255887,0.004695943
67,0.002528555,0.004645399
68,0.002496223,0.004671645
69,0.002458934,0.00458925
70,0.002463603,0.004555625
71,0.002497094,0.004604176
72,0.002563202,0.004568528
73,0.00259003,0.004587193
74,0.002524273,0.004670315
75,0.002585611,0.00455278
76,0.002491784,0.00463277
77,0.002452754,0.004559101
78,0.002546212,0.004582924
79,0.002522991,0.004575877
80,0.002446125,0.004469744
81,0.002636143,0.00467026
82,0.002615318,0.004610383
83,0.002503409,0.004605714
84,0.002512336,0.004589775
85,0.002442973,0.004506971
86,0.00253607,0.004501299
87,0.002491367,0.004546925
88,0.002503638,0.004604699
89,0.002514136,0.004525377
90,0.00246431,0.004526309
91,0.002560218,0.004640456
92,0.002518745,0.004580828
93,0.002481901,0.004611649
94,0.00254777,0.004667505
95,0.002449794,0.004621826
96,0.002511087,0.004612558
97,0.002536527,0.004579816
98,0.00257058,0.004611266
99,0.002537515,0.004527264
100,0.002538248,0.00465398
101,0.002527304,0.004653354
102,0.002487677,0.004598064
103,0.002581925,0.004660688
104,0.002468912,0.004620485
105,0.002450439,0.004536697
106,0.002503061,0.004562366
107,0.002491399,0.004603948
108,0.002489021,0.004606992
109,0.002550947,0.004596819
110,0.002506459,0.004532367
111,0.002530593,0.004603198
112,0.002548884,0.004645324
113,0.002557594,0.00463131
114,0.002484962,0.004631701
115,0.002485806,0.004602378
116,0.002456811,0.004542092
117,0.002478517,0.004539972
118,0.002478038,0.004649116
119,0.002512802,0.004574137
120,0.00243553,0.004513191
121,0.002456061,0.004558205
122,0.002458268,0.004574664
123,0.002501032,0.0044947
124,0.002466683,0.004575332
125,0.002468998,0.004538509
126,0.002486354,0.004611644
127,0.002500635,0.004641317
128,0.002521768,0.004617785
129,0.002489113,0.004543005
130,0.002481613,0.004581949
131,0.002487175,0.004539562
132,0.002528245,0.004645286
133,0.002521172,0.004596682
134,0.002477609,0.004548697
135,0.002521501,0.004652542
136,0.002539572,0.004510135
137,0.002536853,0.004601759
138,0.00249938,0.004497399
139,0.002434073,0.004634191
140,0.002458926,0.004581099
141,0.002465576,0.004511629
142,0.002607228,0.004548797
143,0.002503935,0.004512769
144,0.002500913,0.004567977
145,0.002464615,0.004558002
146,0.002452704,0.00457005
147,0.002543541,0.004601756
148,0.002521137,0.004477708
149,0.002443195,0.004653152
150,0.002438642,0.004580126
