Leaf Size,In Sample RMSE,Out of Sample RMSE
1,0,1.097955621
2,0.34834042,1.061079363
3,0.465572155,0.99977754
4,0.543308198,0.951738462
5,0.580310004,0.943917509
6,0.624825821,0.914033519
7,0.657996762,0.875569796
8,0.660973311,0.861615121
9,0.661388307,0.853340763
10,0.698054132,0.862750499
11,0.700181024,0.871732271
12,0.700284675,0.837577507
13,0.709915337,0.825118703
14,0.710636754,0.852465432
15,0.712983363,0.852290375
16,0.72059663,0.827731731
17,0.730960091,0.846042423
18,0.724976752,0.819688098
19,0.761498921,0.831903332
20,0.763796758,0.827754504
21,0.777842055,0.851075368
22,0.762848313,0.830773601
23,0.754691717,0.781596145
24,0.753945253,0.780305489
25,0.785129019,0.838488545
26,0.785145816,0.818070168
27,0.774221597,0.814933038
28,0.786382487,0.827306918
29,0.769596735,0.820851955
30,0.764196463,0.787760765
31,0.764446543,0.822211286
32,0.776092488,0.842322175
33,0.770250037,0.823062937
34,0.801992433,0.81112251
35,0.776284213,0.794598288
36,0.764231893,0.79993003
37,0.790118291,0.81762327
38,0.784069407,0.802085944
39,0.787776913,0.806344367
40,0.802429399,0.821146768
41,0.751307837,0.781293685
42,0.777653678,0.783490738
43,0.786636846,0.784422073
44,0.787913584,0.816979608
45,0.795173219,0.787454644
46,0.81988387,0.812253621
47,0.787163032,0.79147316
48,0.826164073,0.846466801
49,0.780188979,0.778757326
50,0.804977496,0.793519738
51,0.790389521,0.805696225
52,0.799075242,0.777883358
53,0.775888091,0.780732318
54,0.773243888,0.756780027
55,0.824085069,0.838273237
56,0.791549289,0.821935091
57,0.798362162,0.797688737
58,0.800889299,0.784038508
59,0.81755278,0.831322462
60,0.798718849,0.797746519
61,0.801429369,0.809362372
62,0.804554726,0.811190421
63,0.801749563,0.797217801
64,0.810233297,0.805583105
65,0.82617202,0.819161592
66,0.816710706,0.795838003
67,0.825776769,0.768824367
68,0.795054547,0.80851659
69,0.814007151,0.783935795
70,0.782269796,0.772692256
71,0.805806285,0.758703016
72,0.844995974,0.839984051
73,0.819532677,0.795793224
74,0.797916933,0.772147464
75,0.808754088,0.810919825
76,0.810783783,0.814689999
77,0.795564939,0.774212752
78,0.789983574,0.779024531
79,0.813223798,0.766620911
80,0.808985121,0.771138058
81,0.845057593,0.834432743
82,0.815374765,0.780075819
83,0.810253287,0.785557798
84,0.816283903,0.820817041
85,0.805590622,0.803672772
86,0.82059827,0.786309167
87,0.816122362,0.813244328
88,0.814608097,0.805108361
89,0.791331925,0.801352144
90,0.798652426,0.788332422
91,0.806222086,0.820251697
92,0.808056488,0.783634248
93,0.810794397,0.800717139
94,0.811778404,0.828959034
95,0.839675538,0.828801214
96,0.832096443,0.811605123
97,0.805987348,0.796900402
98,0.817155119,0.786462715
99,0.838671305,0.793691519
100,0.821690926,0.800146179
101,0.829176862,0.811631199
102,0.819378214,0.774712032
103,0.83244465,0.792708339
104,0.827763382,0.817633275
105,0.811627906,0.784470881
106,0.824446696,0.804558928
107,0.82031008,0.797664404
108,0.831268435,0.790945575
109,0.831180801,0.773539261
110,0.82578875,0.785383124
111,0.839571219,0.784145561
112,0.809178097,0.780983942
113,0.836900228,0.814131587
114,0.811788524,0.792698392
115,0.854659755,0.82559217
116,0.804928037,0.756823734
117,0.81599246,0.773756259
118,0.848853733,0.827872063
119,0.845288515,0.818162113
120,0.810696478,0.788099007
121,0.822913218,0.812824051
122,0.845451535,0.818472811
123,0.833569128,0.781148139
124,0.850991018,0.825483195
125,0.837714274,0.801782724
126,0.838021543,0.79729394
127,0.84501911,0.816998201
128,0.838876739,0.827513885
129,0.80293958,0.779166429
130,0.829724023,0.779699099
131,0.846925717,0.821292351
132,0.856761378,0.81828472
133,0.82561142,0.779138502
134,0.793695463,0.774113079
135,0.857136097,0.816056158
136,0.837061864,0.785410339
137,0.815135914,0.791208501
138,0.81964715,0.758010147
139,0.81533071,0.771717468
140,0.855307564,0.786983891
141,0.863498314,0.838078596
142,0.798947546,0.782417685
143,0.812204283,0.791964846
144,0.820921998,0.770367568
145,0.870903285,0.823074687
146,0.858769763,0.7908231
147,0.848347,0.791919956
148,0.832361872,0.793711359
149,0.83778609,0.812352703
150,0.835903534,0.758877246
151,0.881232553,0.861946894
152,0.841596448,0.795589578
153,0.819648991,0.774023444
154,0.827039393,0.803986884
155,0.822130929,0.791710846
156,0.828339493,0.816908856
157,0.855624619,0.821502396
158,0.832778092,0.810459411
159,0.82493762,0.792761968
160,0.846872326,0.817637085
161,0.825271506,0.781024821
162,0.818919786,0.779435167
163,0.826748893,0.8023296
164,0.826992625,0.793201814
165,0.818342582,0.78317191
166,0.830555065,0.803689814
167,0.838578841,0.820402033
168,0.844139642,0.800147017
169,0.850116001,0.809304405
170,0.800075389,0.773020771
171,0.840837336,0.775594629
172,0.832005084,0.812014177
173,0.845963672,0.814120164
174,0.808413391,0.754538708
175,0.833264837,0.769379633
176,0.81548377,0.769333135
177,0.872861219,0.810948703
178,0.82469558,0.809053091
179,0.825410831,0.77825342
180,0.824019489,0.779821042
181,0.85287639,0.786741507
182,0.815946441,0.797346603
183,0.83453409,0.783256249
184,0.847708052,0.795595289
185,0.848465868,0.801150571
186,0.810339583,0.783302102
187,0.840100515,0.809426333
188,0.832240522,0.779844395
189,0.853186054,0.827830522
190,0.84164542,0.788251889
191,0.845356057,0.826424326
192,0.848648114,0.823411927
193,0.86629225,0.828670904
194,0.82713755,0.81351768
195,0.86494867,0.822991206
196,0.84591137,0.823923911
197,0.875495039,0.825101575
198,0.801869099,0.765828845
199,0.827567166,0.76630471
200,0.856695926,0.803960326
201,0.839210236,0.790000364
202,0.835617905,0.798804039
203,0.843610705,0.813735671
204,0.822951537,0.776444435
205,0.870962184,0.824575679
206,0.853725883,0.806998577
207,0.865596122,0.833598181
208,0.866831833,0.841672755
209,0.840649859,0.779138526
210,0.825468806,0.796350346
211,0.825778637,0.778235372
212,0.863511062,0.823415322
213,0.858418162,0.831049824
214,0.853750118,0.806857772
215,0.866230852,0.85534679
216,0.84350321,0.797958233
217,0.84607222,0.82087341
218,0.827269529,0.793524701
219,0.845702931,0.784691583
220,0.811361866,0.756153111
221,0.836635386,0.816100883
222,0.829250201,0.792655635
223,0.847759426,0.81181613
224,0.807500047,0.775029266
225,0.817319474,0.779441966
226,0.845311653,0.831545941
227,0.840712491,0.824509934
228,0.873955466,0.813312532
229,0.832461993,0.800167085
230,0.81458817,0.778535155
231,0.852506332,0.810285433
232,0.880022035,0.832503814
233,0.852299691,0.795972399
234,0.854793433,0.803025247
235,0.854938651,0.802396042
236,0.866276162,0.813104215
237,0.856234474,0.828460978
238,0.800612781,0.750794733
239,0.843422479,0.806597446
240,0.870213561,0.853036403
241,0.827874786,0.780896212
242,0.843621029,0.793212768
243,0.853116978,0.82057378
244,0.869520573,0.815058413
245,0.841292073,0.772597573
246,0.853168565,0.784765409
247,0.854947417,0.862096383
248,0.839562436,0.821134787
249,0.807151386,0.773072275
250,0.852161411,0.82415094
251,0.857914185,0.821228005
252,0.856739999,0.819210758
253,0.861851562,0.820691515
254,0.849630317,0.796757325
255,0.869139599,0.844468531
256,0.873995554,0.841728441
257,0.841113675,0.806930788
258,0.824872465,0.778090438
259,0.858254877,0.812248398
260,0.87175145,0.813160645
261,0.865466971,0.8220192
262,0.874846622,0.824518858
263,0.830651077,0.785170123
264,0.816698239,0.774184268
265,0.814005957,0.779716107
266,0.873491194,0.816219727
267,0.820089733,0.77806267
268,0.866698159,0.813274238
269,0.856410217,0.83071667
270,0.869230354,0.84037196
271,0.872542062,0.814253861
272,0.848406067,0.798214342
273,0.866062551,0.797725651
274,0.832128998,0.771140146
275,0.838870824,0.791539591
276,0.825333677,0.786462777
277,0.856781316,0.801409802
278,0.870810935,0.807029126
279,0.812455654,0.776184055
280,0.841765324,0.775805139
281,0.79533009,0.767667475
282,0.839866849,0.816330066
283,0.811264162,0.776531076
284,0.87787231,0.854921162
285,0.826843187,0.763534274
286,0.850641129,0.792839758
287,0.83650832,0.772703089
288,0.834955825,0.794461
289,0.840071391,0.785781563
290,0.887486794,0.828504121
291,0.832378338,0.769246594
292,0.863833636,0.766962296
293,0.821764097,0.775642296
294,0.836133383,0.801278946
295,0.861907217,0.825450032
296,0.84022546,0.796779299
297,0.845082204,0.800396649
298,0.869131057,0.831748929
299,0.857583933,0.827052458
300,0.854051923,0.796480835
301,0.862259616,0.799997057
302,0.826282606,0.771821863
303,0.87150064,0.846116844
304,0.859966864,0.821354912
305,0.863727402,0.803993797
306,0.849777835,0.823801185
307,0.818536813,0.780559958
308,0.83503643,0.776123701
309,0.848673066,0.802485264
310,0.837032125,0.7836827
311,0.846170989,0.808994866
312,0.870579876,0.821660715
313,0.837704515,0.794588151
314,0.836166888,0.800375685
315,0.830619829,0.788970448
316,0.848822055,0.781860421
317,0.887323688,0.826796904
318,0.847080803,0.793576857
319,0.860239627,0.794346073
320,0.842758583,0.804297393
321,0.86435996,0.860857392
322,0.874815061,0.843298224
323,0.86114614,0.820003181
324,0.834082408,0.815481253
325,0.867677893,0.82625071
326,0.845785553,0.800343781
327,0.875642581,0.826512463
328,0.822114192,0.796020272
329,0.859818489,0.810109254
330,0.805024204,0.774028754
331,0.844858935,0.79540575
332,0.870388328,0.829868411
333,0.84946544,0.814861371
